Nvariety;Reference;Data;Specie
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
2;Winter et al. (2005);1999;Potato
1;Winter et al. (2005);1999;Potato
1;Winter et al. (2005);1999;Potato
1;Winter et al. (2005);1999;Potato
1;Winter et al. (2005);1999;Potato
1;Winter et al. (2005);1999;Potato
